"Label (Grouping)","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Median age (years)","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Some Other Race","RACE!!Total population!!Two or More Races"
" -> Tooele County, Utah","","","","","","","","","","",""
"    Estimate","42,555","39,496","32.0","70,558","982","496","814","N","N","3,402","5,053"
"    Percent","51.9%","48.1%","(X)","86.0%","1.2%","0.6%","1.0%","N","N","4.1%","6.2%"
" -> Utah County, Utah","","","","","","","","","","",""
"    Estimate","365,214","353,960","26.2","584,106","5,178","3,028","11,999","2,923","437","34,196","73,979"
"    Percent","50.8%","49.2%","(X)","81.2%","0.7%","0.4%","1.7%","0.4%","0.1%","4.8%","10.3%"
" -> Washington County, Utah","","","","","","","","","","",""
"    Estimate","101,096","101,356","40.1","168,392","763","1,848","2,234","N","N","10,553","17,048"
"    Percent","49.9%","50.1%","(X)","83.2%","0.4%","0.9%","1.1%","N","N","5.2%","8.4%"
" -> Weber County, Utah","","","","","","","","","","",""
"    Estimate","138,129","133,797","33.8","226,282","3,877","1,405","4,414","890","700","13,483","21,291"
"    Percent","50.8%","49.2%","(X)","83.2%","1.4%","0.5%","1.6%","0.3%","0.3%","5.0%","7.8%"
" -> Chittenden County, Vermont","","","","","","","","","","",""
"    Estimate","82,892","86,589","38.0","144,669","3,834","451","7,625","N","N","2,357","10,450"
"    Percent","48.9%","51.1%","(X)","85.4%","2.3%","0.3%","4.5%","N","N","1.4%","6.2%"
" -> Albemarle County, Virginia","","","","","","","","","","",""
"    Estimate","55,539","60,137","42.1","86,682","9,890","130","6,399","922","162","2,983","9,592"
"    Percent","48.0%","52.0%","(X)","74.9%","8.5%","0.1%","5.5%","0.8%","0.1%","2.6%","8.3%"
" -> Arlington County, Virginia","","","","","","","","","","",""
"    Estimate","117,510","116,652","35.7","140,311","21,279","3,010","25,529","5,926","768","13,456","30,555"
"    Percent","50.2%","49.8%","(X)","59.9%","9.1%","1.3%","10.9%","2.5%","0.3%","5.7%","13.0%"
" -> Augusta County, Virginia","","","","","","","","","","",""
"    Estimate","40,263","37,984","45.3","69,557","3,705","0","265","N","N","1,787","2,859"
"    Percent","51.5%","48.5%","(X)","88.9%","4.7%","0.0%","0.3%","N","N","2.3%","3.7%"
" -> Bedford County, Virginia","","","","","","","","","","",""
"    Estimate","40,139","41,386","47.0","70,928","4,369","117","903","N","N","268","4,940"
"    Percent","49.2%","50.8%","(X)","87.0%","5.4%","0.1%","1.1%","N","N","0.3%","6.1%"
" -> Chesterfield County, Virginia","","","","","","","","","","",""
"    Estimate","185,654","198,222","39.5","218,990","88,190","1,280","15,184","2,018","528","20,392","37,578"
"    Percent","48.4%","51.6%","(X)","57.0%","23.0%","0.3%","4.0%","0.5%","0.1%","5.3%","9.8%"
" -> Fairfax County, Virginia","","","","","","","","","","",""
"    Estimate","569,883","571,995","39.5","551,372","111,809","5,405","226,115","32,954","4,123","91,424","155,346"
"    Percent","49.9%","50.1%","(X)","48.3%","9.8%","0.5%","19.8%","2.9%","0.4%","8.0%","13.6%"
" -> Fauquier County, Virginia","","","","","","","","","","",""
"    Estimate","37,491","37,674","41.2","59,247","3,405","336","1,197","N","N","1,591","9,330"
"    Percent","49.9%","50.1%","(X)","78.8%","4.5%","0.4%","1.6%","N","N","2.1%","12.4%"
" -> Frederick County, Virginia","","","","","","","","","","",""
"    Estimate","48,941","47,053","41.8","74,088","3,455","208","1,740","N","N","9,735","6,728"
"    Percent","51.0%","49.0%","(X)","77.2%","3.6%","0.2%","1.8%","N","N","10.1%","7.0%"
" -> Hanover County, Virginia","","","","","","","","","","",""
"    Estimate","56,373","57,775","42.7","92,844","9,517","203","2,696","N","N","3,001","5,797"
"    Percent","49.4%","50.6%","(X)","81.3%","8.3%","0.2%","2.4%","N","N","2.6%","5.1%"
" -> Henrico County, Virginia","","","","","","","","","","",""
"    Estimate","160,708","174,052","39.8","169,741","98,485","1,305","31,590","5,354","106","14,387","19,196"
"    Percent","48.0%","52.0%","(X)","50.7%","29.4%","0.4%","9.4%","1.6%","0.0%","4.3%","5.7%"
" -> James City County, Virginia","","","","","","","","","","",""
"    Estimate","40,619","42,035","47.3","59,980","11,597","59","1,768","N","N","2,873","6,377"
"    Percent","49.1%","50.9%","(X)","72.6%","14.0%","0.1%","2.1%","N","N","3.5%","7.7%"
" -> Loudoun County, Virginia","","","","","","","","","","",""
"    Estimate","218,730","217,617","38.3","228,098","32,426","931","95,473","6,594","716","21,855","57,326"
"    Percent","50.1%","49.9%","(X)","52.3%","7.4%","0.2%","21.9%","1.5%","0.2%","5.0%","13.1%"
" -> Montgomery County, Virginia","","","","","","","","","","",""
"    Estimate","51,072","47,594","29.8","81,263","3,336","269","6,446","1,252","501","1,313","5,679"
"    Percent","51.8%","48.2%","(X)","82.4%","3.4%","0.3%","6.5%","1.3%","0.5%","1.3%","5.8%"
" -> Prince William County, Virginia","","","","","","","","","","",""
"    Estimate","246,052","243,588","36.7","201,762","99,238","2,864","48,398","1,626","526","58,707","78,482"
"    Percent","50.3%","49.7%","(X)","41.2%","20.3%","0.6%","9.9%","0.3%","0.1%","12.0%","16.0%"
" -> Roanoke County, Virginia","","","","","","","","","","",""
"    Estimate","46,782","50,244","42.9","80,190","5,896","124","3,432","N","N","1,322","6,062"
"    Percent","48.2%","51.8%","(X)","82.6%","6.1%","0.1%","3.5%","N","N","1.4%","6.2%"
" -> Rockingham County, Virginia","","","","","","","","","","",""
"    Estimate","42,133","44,435","40.6","74,177","2,850","216","645","N","N","2,842","5,696"
"    Percent","48.7%","51.3%","(X)","85.7%","3.3%","0.2%","0.7%","N","N","3.3%","6.6%"
" -> Spotsylvania County, Virginia","","","","","","","","","","",""
"    Estimate","74,004","75,584","39.3","92,543","25,508","547","4,022","N","N","9,054","17,914"
"    Percent","49.5%","50.5%","(X)","61.9%","17.1%","0.4%","2.7%","N","N","6.1%","12.0%"
" -> Stafford County, Virginia","","","","","","","","","","",""
"    Estimate","84,886","80,542","36.4","89,609","34,195","62","6,285","304","130","16,263","19,014"
"    Percent","51.3%","48.7%","(X)","54.2%","20.7%","0.0%","3.8%","0.2%","0.1%","9.8%","11.5%"
" -> York County, Virginia","","","","","","","","","","",""
"    Estimate","34,813","36,139","40.5","47,975","8,669","310","4,219","1,450","190","331","8,658"
"    Percent","49.1%","50.9%","(X)","67.6%","12.2%","0.4%","5.9%","2.0%","0.3%","0.5%","12.2%"
" -> Alexandria city, Virginia","","","","","","","","","","",""
"    Estimate","75,744","79,486","38.2","78,635","33,903","3,049","9,786","845","240","5,123","24,672"
"    Percent","48.8%","51.2%","(X)","50.7%","21.8%","2.0%","6.3%","0.5%","0.2%","3.3%","15.9%"
" -> Chesapeake city, Virginia","","","","","","","","","","",""
"    Estimate","125,164","128,722","38.4","140,413","72,593","432","9,969","70","85","4,903","25,443"
"    Percent","49.3%","50.7%","(X)","55.3%","28.6%","0.2%","3.9%","0.0%","0.0%","1.9%","10.0%"
" -> Hampton city, Virginia","","","","","","","","","","",""
"    Estimate","65,837","71,261","35.9","49,605","67,072","571","3,229","197","110","2,167","14,318"
"    Percent","48.0%","52.0%","(X)","36.2%","48.9%","0.4%","2.4%","0.1%","0.1%","1.6%","10.4%"
" -> Lynchburg city, Virginia","","","","","","","","","","",""
"    Estimate","36,912","42,623","28.2","49,945","20,841","245","1,633","N","N","1,936","4,935"
"    Percent","46.4%","53.6%","(X)","62.8%","26.2%","0.3%","2.1%","N","N","2.4%","6.2%"
" -> Newport News city, Virginia","","","","","","","","","","",""
"    Estimate","87,446","95,672","34.7","71,967","77,345","1,191","5,157","1,195","412","3,933","23,299"
"    Percent","47.8%","52.2%","(X)","39.3%","42.2%","0.7%","2.8%","0.7%","0.2%","2.1%","12.7%"
" -> Norfolk city, Virginia","","","","","","","","","","",""
"    Estimate","116,864","114,066","33.0","99,344","85,061","1,427","8,029","1,549","233","11,024","25,855"
"    Percent","50.6%","49.4%","(X)","43.0%","36.8%","0.6%","3.5%","0.7%","0.1%","4.8%","11.2%"
" -> Portsmouth city, Virginia","","","","","","","","","","",""
"    Estimate","47,136","49,657","35.6","35,276","48,151","0","1,764","N","N","2,056","9,478"
"    Percent","48.7%","51.3%","(X)","36.4%","49.7%","0.0%","1.8%","N","N","2.1%","9.8%"
" -> Richmond city, Virginia","","","","","","","","","","",""
"    Estimate","106,539","122,708","34.9","98,766","94,725","622","4,979","1,554","63","12,449","17,391"
"    Percent","46.5%","53.5%","(X)","43.1%","41.3%","0.3%","2.2%","0.7%","0.0%","5.4%","7.6%"
" -> Roanoke city, Virginia","","","","","","","","","","",""
"    Estimate","45,775","51,396","38.9","55,473","27,031","194","2,741","N","N","4,220","7,512"
"    Percent","47.1%","52.9%","(X)","57.1%","27.8%","0.2%","2.8%","N","N","4.3%","7.7%"
" -> Suffolk city, Virginia","","","","","","","","","","",""
"    Estimate","48,571","52,088","39.8","45,472","42,183","283","2,400","N","N","2,279","8,042"
"    Percent","48.3%","51.7%","(X)","45.2%","41.9%","0.3%","2.4%","N","N","2.3%","8.0%"
" -> Virginia Beach city, Virginia","","","","","","","","","","",""
"    Estimate","222,574","231,075","38.2","275,563","85,144","1,269","34,057","3,657","825","12,166","44,639"
"    Percent","49.1%","50.9%","(X)","60.7%","18.8%","0.3%","7.5%","0.8%","0.2%","2.7%","9.8%"
" -> Benton County, Washington","","","","","","","","","","",""
"    Estimate","109,337","105,882","36.2","143,929","3,241","4,269","6,917","1,076","304","18,722","37,831"
"    Percent","50.8%","49.2%","(X)","66.9%","1.5%","2.0%","3.2%","0.5%","0.1%","8.7%","17.6%"
" -> Chelan County, Washington","","","","","","","","","","",""
"    Estimate","40,577","39,420","42.4","52,635","449","1,371","762","N","N","11,155","13,458"
"    Percent","50.7%","49.3%","(X)","65.8%","0.6%","1.7%","1.0%","N","N","13.9%","16.8%"
" -> Clallam County, Washington","","","","","","","","","","",""
"    Estimate","37,976","39,640","52.4","63,053","720","2,889","1,532","N","N","1,412","7,896"
"    Percent","48.9%","51.1%","(X)","81.2%","0.9%","3.7%","2.0%","N","N","1.8%","10.2%"
" -> Clark County, Washington","","","","","","","","","","",""
"    Estimate","259,448","261,702","39.2","391,277","10,872","2,617","25,748","5,274","1,240","26,490","58,472"
"    Percent","49.8%","50.2%","(X)","75.1%","2.1%","0.5%","4.9%","1.0%","0.2%","5.1%","11.2%"
" -> Cowlitz County, Washington","","","","","","","","","","",""
"    Estimate","55,448","57,416","41.4","93,154","942","636","1,007","N","N","5,389","11,308"
"    Percent","49.1%","50.9%","(X)","82.5%","0.8%","0.6%","0.9%","N","N","4.8%","10.0%"
" -> Franklin County, Washington","","","","","","","","","","",""
"    Estimate","50,023","49,011","31.3","46,910","2,152","328","1,921","N","N","19,077","28,646"
"    Percent","50.5%","49.5%","(X)","47.4%","2.2%","0.3%","1.9%","N","N","19.3%","28.9%"
" -> Grant County, Washington","","","","","","","","","","",""
"    Estimate","52,728","49,950","34.0","54,075","2,078","1,835","830","N","N","17,072","26,734"
"    Percent","51.4%","48.6%","(X)","52.7%","2.0%","1.8%","0.8%","N","N","16.6%","26.0%"
" -> Grays Harbor County, Washington","","","","","","","","","","",""
"    Estimate","39,517","37,773","43.4","60,833","1,392","4,178","1,051","N","N","4,283","5,359"
"    Percent","51.1%","48.9%","(X)","78.7%","1.8%","5.4%","1.4%","N","N","5.5%","6.9%"
" -> Island County, Washington","","","","","","","","","","",""
"    Estimate","43,812","42,455","45.7","66,156","1,456","371","4,904","421","326","1,423","11,906"
"    Percent","50.8%","49.2%","(X)","76.7%","1.7%","0.4%","5.7%","0.5%","0.4%","1.6%","13.8%"
" -> King County, Washington","","","","","","","","","","",""
"    Estimate","1,151,024","1,120,356","37.7","1,227,102","151,954","14,564","474,574","143,245","20,536","107,332","277,919"
"    Percent","50.7%","49.3%","(X)","54.0%","6.7%","0.6%","20.9%","6.3%","0.9%","4.7%","12.2%"
" -> Kitsap County, Washington","","","","","","","","","","",""
"    Estimate","143,053","134,605","40.4","209,141","5,957","2,652","14,806","558","1,860","5,927","36,849"
"    Percent","51.5%","48.5%","(X)","75.3%","2.1%","1.0%","5.3%","0.2%","0.7%","2.1%","13.3%"
" -> Lewis County, Washington","","","","","","","","","","",""
"    Estimate","42,926","43,228","42.6","71,091","1,061","1,266","990","N","N","2,959","8,636"
"    Percent","49.8%","50.2%","(X)","82.5%","1.2%","1.5%","1.1%","N","N","3.4%","10.0%"
" -> Mason County, Washington","","","","","","","","","","",""
"    Estimate","33,966","34,423","43.9","51,968","399","4,006","1,306","N","N","4,269","6,369"
"    Percent","49.7%","50.3%","(X)","76.0%","0.6%","5.9%","1.9%","N","N","6.2%","9.3%"
" -> Pierce County, Washington","","","","","","","","","","",""
"    Estimate","465,869","462,827","37.5","585,806","67,241","7,462","63,602","5,675","3,109","37,275","152,305"
"    Percent","50.2%","49.8%","(X)","63.1%","7.2%","0.8%","6.8%","0.6%","0.3%","4.0%","16.4%"
" -> Skagit County, Washington","","","","","","","","","","",""
"    Estimate","66,194","65,223","42.8","94,568","1,174","2,226","2,732","224","267","16,545","13,742"
"    Percent","50.4%","49.6%","(X)","72.0%","0.9%","1.7%","2.1%","0.2%","0.2%","12.6%","10.5%"
" -> Snohomish County, Washington","","","","","","","","","","",""
"    Estimate","426,834","417,927","38.5","538,205","33,471","9,692","123,367","19,866","4,845","44,619","90,327"
"    Percent","50.5%","49.5%","(X)","63.7%","4.0%","1.1%","14.6%","2.4%","0.6%","5.3%","10.7%"
" -> Spokane County, Washington","","","","","","","","","","",""
"    Estimate","276,158","275,297","38.7","451,726","12,080","6,616","12,938","1,931","729","15,531","48,358"
"    Percent","50.1%","49.9%","(X)","81.9%","2.2%","1.2%","2.3%","0.4%","0.1%","2.8%","8.8%"
" -> Thurston County, Washington","","","","","","","","","","",""
"    Estimate","147,209","151,794","40.3","213,717","11,202","3,833","18,889","2,795","1,142","10,815","37,128"
"    Percent","49.2%","50.8%","(X)","71.5%","3.7%","1.3%","6.3%","0.9%","0.4%","3.6%","12.4%"
" -> Whatcom County, Washington","","","","","","","","","","",""
"    Estimate","114,210","117,709","38.5","180,047","2,309","4,214","9,820","2,406","149","13,544","21,237"
"    Percent","49.2%","50.8%","(X)","77.6%","1.0%","1.8%","4.2%","1.0%","0.1%","5.8%","9.2%"
" -> Yakima County, Washington","","","","","","","","","","",""
"    Estimate","128,958","127,685","33.8","116,505","1,510","9,691","3,006","N","N","55,639","69,974"
"    Percent","50.2%","49.8%","(X)","45.4%","0.6%","3.8%","1.2%","N","N","21.7%","27.3%"
" -> Berkeley County, West Virginia","","","","","","","","","","",""
"    Estimate","66,069","66,371","38.4","105,445","11,727","19","1,423","N","N","4,422","9,404"
"    Percent","49.9%","50.1%","(X)","79.6%","8.9%","0.0%","1.1%","N","N","3.3%","7.1%"
" -> Cabell County, West Virginia","","","","","","","","","","",""
"    Estimate","44,758","47,324","39.5","82,210","3,812","36","973","N","N","634","4,351"
"    Percent","48.6%","51.4%","(X)","89.3%","4.1%","0.0%","1.1%","N","N","0.7%","4.7%"
" -> Harrison County, West Virginia","","","","","","","","","","",""
"    Estimate","31,739","32,900","43.1","59,742","1,212","13","550","N","N","676","2,446"
"    Percent","49.1%","50.9%","(X)","92.4%","1.9%","0.0%","0.9%","N","N","1.0%","3.8%"
" -> Kanawha County, West Virginia","","","","","","","","","","",""
"    Estimate","86,391","88,414","44.2","152,070","7,664","52","2,019","N","N","847","12,153"
"    Percent","49.4%","50.6%","(X)","87.0%","4.4%","0.0%","1.2%","N","N","0.5%","7.0%"
" -> Monongalia County, West Virginia","","","","","","","","","","",""
"    Estimate","55,900","51,818","32.6","94,085","3,691","247","4,125","595","0","749","4,821"
"    Percent","51.9%","48.1%","(X)","87.3%","3.4%","0.2%","3.8%","0.6%","0.0%","0.7%","4.5%"
" -> Raleigh County, West Virginia","","","","","","","","","","",""
"    Estimate","35,675","36,681","42.4","N","N","N","N","N","N","N","N"
"    Percent","49.3%","50.7%","(X)","N","N","N","N","N","N","N","N"
" -> Wood County, West Virginia","","","","","","","","","","",""
"    Estimate","40,832","42,220","43.8","77,614","521","104","171","N","N","388","4,254"
"    Percent","49.2%","50.8%","(X)","93.5%","0.6%","0.1%","0.2%","N","N","0.5%","5.1%"
" -> Brown County, Wisconsin","","","","","","","","","","",""
"    Estimate","134,728","136,689","38.5","216,227","7,099","5,928","9,154","N","N","11,437","21,572"
"    Percent","49.6%","50.4%","(X)","79.7%","2.6%","2.2%","3.4%","N","N","4.2%","7.9%"
